data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
7,6,6,6,5.5,5.2,4.9,4.6,4.3,4,3.7,3.4,3.1,2.8,2.5,2.2,1.9,1.6,1.3,1,0.7,0.4,0.1,-0.2,-0.5,-0.8,-1.1,-1.4,-1.7,-2,-2.3,-2.6,-2.9,-3.2,-3.5,-3.8,-4.1,-4.4,-4.7,-5,-5.3,-5.6,-5.9,-6.2,-6.5,-6.8,-7.1,-7.4,-7.7,-8,-8.3,-8.6,-8.9,-9.2,-9.5,-9.8
7,6,6,6,5.5,5.2,4.9,4.6,4.3,4,3.7,3.4,3.1,2.8,2.5,2.2,1.9,1.6,1.3,1,0.7,0.4,0.1,-0.2,-0.5,-0.8,-1.1,-1.4,-1.7,-2,-2.3,-2.6,-2.9,-3.2,-3.5,-3.8,-4.1,-4.4,-4.7,-5,-5.3,-5.6,-5.9,-6.2,-6.5,-6.8,-7.1,-7.4,-7.7,-8,-8.3,-8.6,-8.9,-9.2,-9.5,-9.8
,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,,6,,6,,6,,6,,6
,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,6,,,6,,6,,6,,6,,6
,,,6,,,,6,,,,6,,,,6,,,,6,,,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,,,,6,,,,6,,
,,,6,,,,6,,,,6,,,,6,,,,6,,,,,,,6,,,,6,,,,6,,,,6,,,,6,,,,,,,6,,,,6,,
data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56
9.066666667,7.75,7.933333333,7.533333333,7.366666667,7.378571429,6.686666667,7.253333333,6.006666667,6.821428571,5.326666667,7.013333333,4.646666667,6.264285714,3.966666667,6.773333333,3.286666667,5.707142857,2.606666667,6.533333333,1.926666667,5.15,1.246666667,2.940331263,2.698964803,2.457598344,2.216231884,1.974865424,1.733498965,1.492132505,1.250766046,1.009399586,0.768033126,0.526666667,0.285300207,0.043933747,-0.197432712,-0.438799172,-0.680165631,-0.921532091,-1.162898551,-1.40426501,-1.64563147,-1.88699793,-2.128364389,-2.369730849,-2.611097308,-2.852463768,-3.093830228,-3.335196687,-3.576563147,-3.817929607,-4.059296066,-4.300662526,-4.542028986,-4.783395445
10.32380952,8.416666667,8.961904762,7.993939394,8.280952381,8.007142857,7.463809524,7.713939394,6.646666667,7.392857143,5.82952381,7.473939394,5.012380952,6.778571429,4.195238095,7.233939394,3.378095238,6.164285714,2.560952381,6.993939394,1.743809524,5.55,0.926666667,2.893051007,2.608620365,2.324189723,2.039759081,1.75532844,1.470897798,1.186467156,0.902036514,0.617605872,0.333175231,0.048744589,-0.235686053,-0.520116695,-0.804547337,-1.088977979,-1.37340862,-1.657839262,-1.942269904,-2.226700546,-2.511131188,-2.795561829,-3.079992471,-3.364423113,-3.648853755,-3.933284397,-4.217715039,-4.50214568,-4.786576322,-5.071006964,-5.355437606,-5.639868248,-5.92429889,-6.208729531
11.58095238,9.083333333,9.99047619,8.454545455,9.195238095,8.635714286,8.240952381,8.174545455,7.286666667,7.964285714,6.332380952,7.934545455,5.378095238,7.292857143,4.423809524,7.694545455,3.46952381,6.621428571,2.515238095,7.454545455,1.560952381,5.95,0.606666667,2.845770751,2.518275927,2.190781103,1.863286279,1.535791455,1.208296631,0.880801807,0.553306983,0.225812159,-0.101682665,-0.429177489,-0.756672313,-1.084167137,-1.411661961,-1.739156785,-2.066651609,-2.394146433,-2.721641257,-3.049136081,-3.376630905,-3.704125729,-4.031620553,-4.359115377,-4.686610201,-5.014105025,-5.341599849,-5.669094673,-5.996589497,-6.324084321,-6.651579145,-6.97907397,-7.306568794,-7.634063618
12.83809524,9.75,11.01904762,8.915151515,10.10952381,9.264285714,9.018095238,8.635151515,7.926666667,8.535714286,6.835238095,8.395151515,5.743809524,7.807142857,4.652380952,8.155151515,3.560952381,7.078571429,2.46952381,7.915151515,1.378095238,6.35,0.286666667,2.798490495,2.427931489,2.057372483,1.686813476,1.31625447,0.945695464,0.575136458,0.204577452,-0.165981555,-0.536540561,-0.907099567,-1.277658573,-1.64821758,-2.018776586,-2.389335592,-2.759894598,-3.130453604,-3.501012611,-3.871571617,-4.242130623,-4.612689629,-4.983248635,-5.353807642,-5.724366648,-6.094925654,-6.46548466,-6.836043666,-7.206602673,-7.577161679,-7.947720685,-8.318279691,-8.688838698,-9.059397704
14.0952381,10.41666667,12.04761905,9.375757576,11.02380952,9.892857143,9.795238095,9.095757576,8.566666667,9.107142857,7.338095238,8.855757576,6.10952381,8.321428571,4.880952381,8.615757576,3.652380952,7.535714286,2.423809524,8.375757576,1.195238095,6.75,-0.033333333,2.751210239,2.337587051,1.923963862,1.510340674,1.096717485,0.683094297,0.269471109,-0.14415208,-0.557775268,-0.971398457,-1.385021645,-1.798644833,-2.212268022,-2.62589121,-3.039514399,-3.453137587,-3.866760775,-4.280383964,-4.694007152,-5.107630341,-5.521253529,-5.934876717,-6.348499906,-6.762123094,-7.175746283,-7.589369471,-8.00299266,-8.416615848,-8.830239036,-9.243862225,-9.657485413,-10.0711086,-10.48473179
15.35238095,11.08333333,13.07619048,9.836363636,11.93809524,10.52142857,10.57238095,9.556363636,9.206666667,9.678571429,7.840952381,9.316363636,6.475238095,8.835714286,5.10952381,9.076363636,3.743809524,7.992857143,2.378095238,8.836363636,1.012380952,7.15,-0.353333333,2.703929983,2.247242612,1.790555242,1.333867871,0.877180501,0.42049313,-0.036194241,-0.492881611,-0.949568982,-1.406256352,-1.862943723,-2.319631094,-2.776318464,-3.233005835,-3.689693205,-4.146380576,-4.603067947,-5.059755317,-5.516442688,-5.973130058,-6.429817429,-6.8865048,-7.34319217,-7.799879541,-8.256566911,-8.713254282,-9.169941653,-9.626629023,-10.08331639,-10.54000376,-10.99669113,-11.45337851,-11.91006588
,11.75,,10.2969697,,11.15,,10.0169697,,10.25,,9.776969697,,9.35,,9.536969697,,8.45,,9.296969697,,7.55,,,8.017895317,7.858986226,7.700077135,7.541168044,7.382258953,7.223349862,7.064440771,6.90553168,6.74662259,6.587713499,6.428804408,6.269895317,6.110986226,5.952077135,5.793168044,5.634258953,5.475349862,5.316440771,5.15753168,4.99862259,4.839713499,,,4.680804408,4.521895317,4.362986226,4.204077135,4.045168044,3.886258953,3.727349862,3.568440771,3.40953168
